date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
12/8/2013,2013,0,0,CIN,IND,1611.443,1526.475,0.70334657,42,28,1
12/8/2013,2013,0,0,SF,SEA,1656.205,1724.383,0.495426618,19,17,1
12/8/2013,2013,0,0,PIT,MIA,1515.242,1508.305,0.60207121,28,34,0
12/8/2013,2013,0,0,WSH,KC,1400.429,1503.095,0.446005636,10,45,0
12/8/2013,2013,0,0,PHI,DET,1515.413,1510.359,0.599471436,34,20,1
12/8/2013,2013,0,0,ARI,LAR,1512.814,1505.197,0.603008651,30,10,1
12/8/2013,2013,0,0,NYJ,OAK,1375.76,1356.461,0.618990131,37,27,1
12/8/2013,2013,0,0,NE,CLE,1662.144,1374.744,0.883765029,27,26,1
12/8/2013,2013,0,0,NO,CAR,1617.804,1640.507,0.560571334,31,13,1
12/8/2013,2013,0,0,GB,ATL,1492.824,1446.766,0.654595487,22,21,1
12/8/2013,2013,0,0,LAC,NYG,1470.946,1503.285,0.546864988,37,14,1
12/9/2013,2013,0,0,CHI,DAL,1505.896,1541.168,0.54267793,45,28,1
12/12/2013,2013,0,0,DEN,LAC,1707.809,1499.326,0.82839499,20,27,0
12/15/2013,2013,0,0,TEN,ARI,1436.451,1536.214,0.450138302,34,37,0
12/15/2013,2013,0,0,JAX,BUF,1331.614,1377.661,0.527248536,20,27,0
12/15/2013,2013,0,0,LAR,NO,1481.796,1643.194,0.364725657,27,16,1
12/15/2013,2013,0,0,TB,SF,1441.925,1667.307,0.284299605,14,33,0
12/15/2013,2013,0,0,OAK,KC,1338.863,1534.522,0.320356564,31,56,0
12/15/2013,2013,0,0,PIT,CIN,1491.019,1626.485,0.39995925,30,20,1
12/15/2013,2013,0,0,NYG,SEA,1474.904,1713.28,0.269328435,0,23,0
12/15/2013,2013,0,0,MIN,PHI,1436.562,1536.437,0.449978729,48,30,1
12/15/2013,2013,0,0,MIA,NE,1532.528,1663.533,0.406137673,24,20,1
12/15/2013,2013,0,0,DAL,GB,1515.084,1497.382,0.616819666,36,37,0
12/15/2013,2013,0,0,IND,HOU,1511.433,1358.029,0.778549673,25,3,1
12/15/2013,2013,0,0,CLE,CHI,1373.355,1531.98,0.368432147,31,38,0
12/15/2013,2013,0,0,CAR,NYJ,1615.118,1393.358,0.838988776,30,20,1
12/15/2013,2013,0,0,ATL,WSH,1442.207,1369.001,0.689027712,27,26,1
12/16/2013,2013,0,0,DET,BAL,1489.335,1588.935,0.450370556,16,18,0
12/22/2013,2013,0,0,GB,PIT,1506.267,1520.748,0.572194604,31,38,0
12/22/2013,2013,0,0,BUF,MIA,1399.779,1552.235,0.376733254,19,0,1
12/22/2013,2013,0,0,HOU,DEN,1345.396,1668.466,0.184587527,13,37,0
12/22/2013,2013,0,0,CIN,MIN,1596.756,1469.474,0.751544033,42,14,1
12/22/2013,2013,0,0,JAX,TEN,1309.495,1424.165,0.429002152,16,20,0
12/22/2013,2013,0,0,KC,IND,1554.227,1524.066,0.633622876,7,23,0
12/22/2013,2013,0,0,NYJ,CLE,1386.527,1358.658,0.630554635,24,13,1
12/22/2013,2013,0,0,WSH,DAL,1364.945,1506.199,0.391990403,23,24,0
12/22/2013,2013,0,0,SEA,ARI,1729.149,1548.501,0.804406082,10,17,0
12/22/2013,2013,0,0,BAL,NE,1598.678,1643.826,0.528538274,7,41,0
12/22/2013,2013,0,0,CAR,NO,1621.949,1610.175,0.608722785,17,13,1
12/22/2013,2013,0,0,PHI,CHI,1503.525,1546.677,0.531400421,54,11,1
12/22/2013,2013,0,0,LAC,OAK,1538.669,1319.158,0.837232222,26,13,1
12/22/2013,2013,0,0,LAR,TB,1514.815,1426.049,0.707887928,23,13,1
12/22/2013,2013,0,0,DET,NYG,1479.593,1459.036,0.620696529,20,23,0
12/23/2013,2013,0,0,SF,ATL,1683.184,1446.264,0.850431734,34,24,1
12/29/2013,2013,0,0,NE,BUF,1681.751,1438.668,0.854888459,34,20,1
12/29/2013,2013,0,0,MIN,DET,1454.086,1461.687,0.581860399,14,13,1
12/29/2013,2013,0,0,MIA,NYJ,1513.347,1404.144,0.731607376,7,20,0
